Institution,Cell ID,Form Factor,Cathode,Temperature (°C),Min SOC (%),Max SOC (%),Charge Rate (C),Discharge Rate (C),Group,Capacity (Ah),Charge Current (A),Discharge Current (A),Mean NCD1%,Std NCD1%,Full Filename
SNL,-,18650,LFP,15,0,100,0.5,1,a,1.10,0.55,1.1,45.959478630017166,258.0723699030476,1.10_SNL_18650_LFP_15C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,LFP,15,0,100,0.5,1,b,1.10,0.55,1.1,35.878673566945174,132.76728448928392,1.10_SNL_18650_LFP_15C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,LFP,15,0,100,0.5,2,a,1.10,0.55,2.2,37.979680027450726,114.28573293122896,1.10_SNL_18650_LFP_15C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,LFP,15,0,100,0.5,2,b,1.10,0.55,2.2,25.121096138841438,100.3573669731176,1.10_SNL_18650_LFP_15C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,0.5,a,1.10,0.55,0.55,30.79786453749109,98.4976937494466,1.10_SNL_18650_LFP_25C_0-100_0.5-0.5C_a_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,1,a,1.10,0.55,1.1,35.79786209553159,151.41027115897325,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,1,b,1.10,0.55,1.1,26.474632808998134,102.03955221345996,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,1,c,1.10,0.55,1.1,30.67665348240888,145.52445016649406,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_c_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,1,d,1.10,0.55,1.1,30.67665348240888,146.55433480890923,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_d_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,2,a,1.10,0.55,2.2,35.78776182881446,168.62183871348557,1.10_SNL_18650_LFP_25C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,2,b,1.10,0.55,2.2,40.89887169568021,130.39382795877208,1.10_SNL_18650_LFP_25C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,3,a,1.10,0.55,3.3,46.14127864005913,97.08410542530063,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_a_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,3,b,1.10,0.55,3.3,41.02007068319125,98.76597038982877,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_b_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,3,c,1.10,0.55,3.3,35.89885238523853,90.86666502189195,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_c_timeseries.csv
SNL,-,18650,LFP,25,0,100,0.5,3,d,1.10,0.55,3.3,41.02007099294835,90.00149450602832,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_d_timeseries.csv
SNL,-,18650,LFP,25,20,80,0.5,0.5,a,1.10,0.55,0.55,74.48473358194143,494.08287625928807,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_a_timeseries.csv
SNL,-,18650,LFP,25,20,80,0.5,0.5,b,1.10,0.55,0.55,84.7978636944154,540.8388358206661,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_b_timeseries.csv
SNL,-,18650,LFP,25,20,80,0.5,0.5,c,1.10,0.55,0.55,60.040289018549885,315.8681919834024,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_c_timeseries.csv
SNL,-,18650,LFP,25,20,80,0.5,0.5,d,1.10,0.55,0.55,66.57564012215175,370.7435486715626,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_d_timeseries.csv
SNL,-,18650,LFP,25,20,80,0.5,3,a,1.10,0.55,3.3,31.446076513229784,302.98733428389994,1.10_SNL_18650_LFP_25C_20-80_0.5-3C_a_timeseries.csv
SNL,-,18650,LFP,25,40,60,0.5,0.5,a,1.10,0.55,0.55,193.67665744749078,1195.5133280927519,1.10_SNL_18650_LFP_25C_40-60_0.5-0.5C_a_timeseries.csv
SNL,-,18650,LFP,25,40,60,0.5,0.5,b,1.10,0.55,0.55,183.48473602420972,1078.6263573814806,1.10_SNL_18650_LFP_25C_40-60_0.5-0.5C_b_timeseries.csv
SNL,-,18650,LFP,25,40,60,0.5,3,a,1.10,0.55,3.3,132.8943307194855,1288.2347787327042,1.10_SNL_18650_LFP_25C_40-60_0.5-3C_a_timeseries.csv
SNL,-,18650,LFP,25,40,60,0.5,3,b,1.10,0.55,3.3,123.59539938889128,1191.684338366253,1.10_SNL_18650_LFP_25C_40-60_0.5-3C_b_timeseries.csv
SNL,-,18650,LFP,35,0,100,0.5,1,a,1.10,0.55,1.1,30.535233285233286,96.73176117313143,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,LFP,35,0,100,0.5,1,b,1.10,0.55,1.1,33.747348341205,114.83470114395433,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,LFP,35,0,100,0.5,1,c,1.10,0.55,1.1,33.74735129068463,123.46201429447662,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_c_timeseries.csv
SNL,-,18650,LFP,35,0,100,0.5,1,d,1.10,0.55,1.1,38.35341120704249,134.24977502278756,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_d_timeseries.csv
SNL,-,18650,LFP,35,0,100,0.5,2,a,1.10,0.55,2.2,38.93926937536803,110.16033303508772,1.10_SNL_18650_LFP_35C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,LFP,35,0,100,0.5,2,b,1.10,0.55,2.2,36.33320058409664,189.43397420317416,1.10_SNL_18650_LFP_35C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,NCA,15,0,100,0.5,1,a,3.20,1.6,3.2,5.262484556215377,20.72703046548973,3.20_SNL_18650_NCA_15C_0-100_0.5-1C_a_timeseries.csv
SNL,-,18650,NCA,15,0,100,0.5,1,b,3.20,1.6,3.2,9.26248170434217,26.52407007256793,3.20_SNL_18650_NCA_15C_0-100_0.5-1C_b_timeseries.csv
SNL,-,18650,NCA,15,0,100,0.5,2,a,3.20,1.6,6.4,9.242269585810256,41.891147521252655,3.20_SNL_18650_NCA_15C_0-100_0.5-2C_a_timeseries.csv
SNL,-,18650,NCA,15,0,100,0.5,2,b,3.20,1.6,6.4,7.908950189751235,17.80608129986747,3.20_SNL_18650_NCA_15C_0-100_0.5-2C_b_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,0.5,a,3.20,1.6,1.6,5.225827455236028,42.42760860020838,3.20_SNL_18650_NCA_25C_0-100_0.5-0.5C_a_timeseries.csv
SNL,-,18650,NCA,25,0,100,0.5,0.5,b,3.20,1.6,1.6,1.3433170602981925,4.025911831033643,3.20_SNL_18650_NCA_25C_0-100_0.5-0.5C_b_timeseries.csv
